index,hawkish,dovish,cnt,prob_hawkish,prob_dovish,polarity_score
글로벌/NNG;경기/NNG;부진/NNG,5,12,17,6.984020560956531e-05,0.00016761649346295676,0.41666666666666663
인플레이션/NNG;부담/NNG,14,7,21,0.00019555257570678288,9.777628785339144e-05,2.0
대출/NNG;금리/NNG;역대/NNG;최저/NNG,14,8,22,0.00019555257570678288,0.00011174432897530451,1.7499999999999998
성장/NNG;전망/NNG;하향/NNG,14,20,34,0.00019555257570678288,0.00027936082243826125,0.7000000000000001
유로존/NNG;재정위기/NNG;우려/NNG,15,6,21,0.00020952061682869594,8.380824673147838e-05,2.4999999999999996
정책/NNG;지지/NNG,7,12,19,9.777628785339144e-05,0.00016761649346295676,0.5833333333333333
금리/NNG;오르/VV,704,497,1201,0.009833500949826796,0.0069421164375907925,1.4164989939637826
인플레이션/NNG;잡/VV,58,7,65,0.0008101463850709576,9.777628785339144e-05,8.285714285714286
물가/NNG;상승률/NNG;최저/NNG,7,11,18,9.777628785339144e-05,0.00015364845234104368,0.6363636363636364
소득/NNG;증가/NNG,18,11,29,0.00025142474019443513,0.00015364845234104368,1.6363636363636365
인플레이션/NNG;억제/NNG,115,50,165,0.0016063247290200023,0.0006984020560956532,2.3
경기/NNG;모멘텀/NNG,19,7,26,0.0002653927813163482,9.777628785339144e-05,2.7142857142857144
경제/NNG;지표/NNG;호조/NNG;힘입/VV;상승/NNG,9,22,31,0.00012571237009721757,0.00030729690468208736,0.4090909090909091
경기/NNG;하방/NNG;위험/NNG,30,15,45,0.00041904123365739187,0.00020952061682869594,2.0
우려/NNG;상승/NNG,19,30,49,0.0002653927813163482,0.00041904123365739187,0.6333333333333333
소비자/NNG;물가/NNG;상승률/NNG;넘/VV,21,6,27,0.0002933288635601743,8.380824673147838e-05,3.4999999999999996
금리/NNG;인상/NNG;가능성/NNG;높/VA,40,23,63,0.0005587216448765225,0.00032126494580400047,1.7391304347826084
투자/NNG;확대/NNG,104,78,182,0.0014526762766789586,0.001089507207509219,1.3333333333333333
채권시장/NNG;약보합/NNG;채권/NNG;금리/NNG;상승/NNG,36,21,57,0.0005028494803888703,0.0002933288635601743,1.7142857142857144
확장/NNG;억제/NNG,15,2,17,0.00020952061682869594,2.7936082243826127e-05,7.499999999999999
월세/NNG;부담/NNG,11,15,26,0.00015364845234104368,0.00020952061682869594,0.7333333333333333
재정/NNG;적자/NNG;우려/NNG,17,9,26,0.00023745669907252208,0.00012571237009721757,1.8888888888888888
cd/NNG;금리/NNG;하락/NNG,5,22,27,6.984020560956531e-05,0.00030729690468208736,0.2272727272727273
대출/NNG;금리/NNG;부담/NNG,18,8,26,0.00025142474019443513,0.00011174432897530451,2.25
강력/NNG;통화/NNG;완화/NNG,7,11,18,9.777628785339144e-05,0.00015364845234104368,0.6363636363636364
하락/NNG;금리/NNG;인상/NNG,25,11,36,0.0003492010280478266,0.00015364845234104368,2.272727272727273
하락/NNG;위험/NNG,14,10,24,0.00019555257570678288,0.00013968041121913062,1.4000000000000001
지표/NNG;호조/NNG,49,65,114,0.0006844340149737401,0.0009079226729243491,0.7538461538461538
fed/NNG;금리/NNG;인하/NNG;기대/NNG;상승/NNG,8,17,25,0.00011174432897530451,0.00023745669907252208,0.47058823529411764
금융지원/NNG;확대/NNG,37,50,87,0.0005168175215107834,0.0006984020560956532,0.74
금융시장/NNG;안정/NNG,116,182,298,0.0016202927701419153,0.0025421834841881773,0.6373626373626373
주택시장/NNG;거품/NNG,10,15,25,0.00013968041121913062,0.00020952061682869594,0.6666666666666666
주택가격/NNG;급등/NNG,10,7,17,0.00013968041121913062,9.777628785339144e-05,1.4285714285714286
경제/NNG;여건/NNG;악화/NNG,12,6,18,0.00016761649346295676,8.380824673147838e-05,2.0
긴축/NNG;경기/NNG;침체/NNG,29,2,31,0.0004050731925354788,2.7936082243826127e-05,14.499999999999998
통화/NNG;부양/NNG,5,17,22,6.984020560956531e-05,0.00023745669907252208,0.2941176470588235
